Step;N 
100 ; 38
200 ; 53
300 ; 52
400 ; 45
500 ; 56
600 ; 46
700 ; 47
800 ; 52
900 ; 50
1000 ; 48
1100 ; 39
1200 ; 45
1300 ; 56
1400 ; 37
1500 ; 44
1600 ; 53
1700 ; 50
1800 ; 66
1900 ; 39
2000 ; 50
2100 ; 50
2200 ; 52
2300 ; 51
2400 ; 44
2500 ; 46
2600 ; 36
2700 ; 40
2800 ; 47
2900 ; 44
3000 ; 45
3100 ; 44
3200 ; 46
3300 ; 36
3400 ; 44
3500 ; 46
3600 ; 47
3700 ; 51
3800 ; 60
3900 ; 51
4000 ; 59
4100 ; 58
4200 ; 47
4300 ; 45
4400 ; 48
4500 ; 38
4600 ; 46
4700 ; 52
4800 ; 45
4900 ; 52
5000 ; 49
5100 ; 50
5200 ; 63
5300 ; 47
5400 ; 47
5500 ; 45
5600 ; 48
5700 ; 66
5800 ; 36
5900 ; 61
6000 ; 54
6100 ; 72
6200 ; 49
6300 ; 44
6400 ; 52
6500 ; 43
6600 ; 46
6700 ; 42
6800 ; 39
6900 ; 41
7000 ; 47
7100 ; 48
7200 ; 39
7300 ; 62
7400 ; 56
7500 ; 52
7600 ; 55
7700 ; 62
7800 ; 42
7900 ; 52
8000 ; 42
8100 ; 47
8200 ; 48
8300 ; 39
8400 ; 65
8500 ; 54
8600 ; 38
8700 ; 58
8800 ; 48
8900 ; 53
9000 ; 40
9100 ; 49
9200 ; 63
9300 ; 51
9400 ; 60
9500 ; 42
9600 ; 48
9700 ; 59
9800 ; 47
9900 ; 55
10000 ; 37
10100 ; 52
10200 ; 38
10300 ; 45
10400 ; 54
10500 ; 49
10600 ; 56
10700 ; 51
10800 ; 42
10900 ; 50
11000 ; 46
11100 ; 51
11200 ; 49
11300 ; 57
11400 ; 48
11500 ; 59
11600 ; 35
11700 ; 47
11800 ; 46
11900 ; 38
12000 ; 51
12100 ; 49
12200 ; 43
12300 ; 54
12400 ; 55
12500 ; 46
12600 ; 49
12700 ; 49
12800 ; 52
12900 ; 42
13000 ; 49
13100 ; 45
13200 ; 45
13300 ; 43
13400 ; 45
13500 ; 48
13600 ; 51
13700 ; 49
13800 ; 49
13900 ; 53
14000 ; 55
14100 ; 55
14200 ; 43
14300 ; 49
14400 ; 51
14500 ; 44
14600 ; 43
14700 ; 43
14800 ; 50
14900 ; 49
15000 ; 37
15100 ; 52
15200 ; 40
15300 ; 49
15400 ; 50
15500 ; 54
15600 ; 54
15700 ; 45
15800 ; 52
15900 ; 45
16000 ; 44
16100 ; 47
16200 ; 48
16300 ; 52
16400 ; 58
16500 ; 46
16600 ; 56
16700 ; 55
16800 ; 55
16900 ; 43
17000 ; 68
17100 ; 38
17200 ; 54
17300 ; 41
17400 ; 43
17500 ; 39
17600 ; 41
17700 ; 47
17800 ; 51
17900 ; 55
18000 ; 51
18100 ; 45
18200 ; 44
18300 ; 46
18400 ; 50
18500 ; 51
18600 ; 51
18700 ; 66
18800 ; 47
18900 ; 36
19000 ; 49
19100 ; 51
19200 ; 49
19300 ; 63
19400 ; 44
19500 ; 40
19600 ; 40
19700 ; 45
19800 ; 42
19900 ; 50
20000 ; 45
20100 ; 54
20200 ; 45
20300 ; 43
20400 ; 39
20500 ; 43
20600 ; 28
20700 ; 39
20800 ; 33
20900 ; 51
21000 ; 34
21100 ; 42
21200 ; 40
21300 ; 35
21400 ; 48
21500 ; 50
21600 ; 46
21700 ; 48
21800 ; 52
21900 ; 48
22000 ; 48
22100 ; 47
22200 ; 48
22300 ; 45
22400 ; 54
22500 ; 43
22600 ; 36
22700 ; 33
22800 ; 50
22900 ; 47
23000 ; 46
23100 ; 48
23200 ; 48
23300 ; 42
23400 ; 51
23500 ; 58
23600 ; 48
23700 ; 32
23800 ; 52
23900 ; 46
24000 ; 35
24100 ; 40
