Step;N 
100 ; 18
200 ; 22
300 ; 23
400 ; 16
500 ; 23
600 ; 18
700 ; 15
800 ; 26
900 ; 9
1000 ; 24
1100 ; 17
1200 ; 17
1300 ; 15
1400 ; 19
1500 ; 8
1600 ; 12
1700 ; 11
1800 ; 18
1900 ; 22
2000 ; 26
2100 ; 18
2200 ; 11
2300 ; 20
2400 ; 13
2500 ; 29
2600 ; 20
2700 ; 19
2800 ; 13
2900 ; 16
3000 ; 14
3100 ; 9
3200 ; 17
3300 ; 11
3400 ; 16
3500 ; 18
3600 ; 12
3700 ; 20
3800 ; 13
3900 ; 20
4000 ; 18
4100 ; 15
4200 ; 24
4300 ; 10
4400 ; 14
4500 ; 11
4600 ; 9
4700 ; 19
4800 ; 8
4900 ; 12
5000 ; 27
5100 ; 15
5200 ; 20
5300 ; 19
5400 ; 46
5500 ; 14
5600 ; 7
5700 ; 13
5800 ; 17
5900 ; 12
6000 ; 16
6100 ; 12
6200 ; 20
6300 ; 12
6400 ; 11
6500 ; 28
6600 ; 15
6700 ; 16
6800 ; 28
6900 ; 24
7000 ; 14
7100 ; 15
7200 ; 15
7300 ; 44
7400 ; 19
7500 ; 42
7600 ; 23
7700 ; 15
7800 ; 14
7900 ; 28
8000 ; 15
8100 ; 9
8200 ; 15
8300 ; 30
8400 ; 13
8500 ; 20
8600 ; 21
8700 ; 11
8800 ; 33
8900 ; 25
9000 ; 34
9100 ; 14
9200 ; 26
9300 ; 11
9400 ; 22
9500 ; 12
9600 ; 12
9700 ; 15
9800 ; 21
9900 ; 11
10000 ; 16
10100 ; 18
10200 ; 23
10300 ; 19
10400 ; 12
10500 ; 8
10600 ; 19
10700 ; 26
10800 ; 25
10900 ; 25
11000 ; 10
11100 ; 10
11200 ; 29
11300 ; 12
11400 ; 30
11500 ; 16
11600 ; 23
11700 ; 33
11800 ; 5
11900 ; 18
12000 ; 17
12100 ; 20
12200 ; 23
12300 ; 17
12400 ; 20
12500 ; 11
12600 ; 29
12700 ; 26
12800 ; 7
12900 ; 41
13000 ; 15
13100 ; 11
13200 ; 16
13300 ; 12
13400 ; 14
13500 ; 14
13600 ; 20
13700 ; 13
13800 ; 8
13900 ; 23
14000 ; 16
14100 ; 42
14200 ; 13
14300 ; 14
14400 ; 17
14500 ; 21
14600 ; 28
14700 ; 7
14800 ; 20
14900 ; 24
15000 ; 11
15100 ; 15
15200 ; 8
15300 ; 12
15400 ; 14
15500 ; 14
15600 ; 26
15700 ; 18
15800 ; 20
15900 ; 34
16000 ; 26
16100 ; 10
16200 ; 10
16300 ; 21
16400 ; 16
16500 ; 15
16600 ; 12
16700 ; 37
16800 ; 17
16900 ; 22
17000 ; 28
17100 ; 24
17200 ; 19
17300 ; 30
17400 ; 18
17500 ; 25
17600 ; 28
17700 ; 10
17800 ; 14
17900 ; 11
18000 ; 11
18100 ; 34
18200 ; 24
18300 ; 12
18400 ; 21
18500 ; 10
18600 ; 17
18700 ; 18
18800 ; 37
18900 ; 28
19000 ; 11
19100 ; 20
19200 ; 22
19300 ; 14
19400 ; 22
19500 ; 14
19600 ; 12
19700 ; 25
19800 ; 20
19900 ; 8
20000 ; 11
20100 ; 33
20200 ; 15
20300 ; 18
20400 ; 14
20500 ; 8
20600 ; 26
20700 ; 25
20800 ; 17
20900 ; 6
21000 ; 21
21100 ; 26
21200 ; 22
21300 ; 14
21400 ; 14
21500 ; 14
21600 ; 15
21700 ; 12
21800 ; 14
21900 ; 17
22000 ; 25
22100 ; 15
22200 ; 34
22300 ; 20
22400 ; 23
22500 ; 13
22600 ; 21
22700 ; 17
22800 ; 15
22900 ; 22
23000 ; 7
23100 ; 18
23200 ; 18
23300 ; 16
23400 ; 15
23500 ; 12
23600 ; 16
23700 ; 8
23800 ; 35
23900 ; 12
24000 ; 21
24100 ; 13
24200 ; 14
24300 ; 19
24400 ; 6
24500 ; 33
24600 ; 30
24700 ; 16
24800 ; 21
24900 ; 30
25000 ; 11
25100 ; 22
25200 ; 12
25300 ; 15
25400 ; 14
25500 ; 37
25600 ; 18
25700 ; 14
25800 ; 16
25900 ; 20
26000 ; 26
26100 ; 46
26200 ; 33
26300 ; 12
26400 ; 16
26500 ; 23
26600 ; 33
26700 ; 13
26800 ; 11
26900 ; 13
27000 ; 15
27100 ; 6
27200 ; 19
27300 ; 22
27400 ; 12
27500 ; 13
27600 ; 13
27700 ; 14
27800 ; 20
27900 ; 7
28000 ; 16
28100 ; 36
28200 ; 19
28300 ; 15
28400 ; 10
28500 ; 7
28600 ; 18
28700 ; 4
28800 ; 17
28900 ; 14
29000 ; 19
29100 ; 14
29200 ; 13
29300 ; 16
29400 ; 13
29500 ; 18
29600 ; 41
29700 ; 13
29800 ; 31
29900 ; 15
30000 ; 20
30100 ; 25
30200 ; 17
30300 ; 10
30400 ; 12
30500 ; 16
30600 ; 32
30700 ; 36
30800 ; 32
30900 ; 14
31000 ; 10
31100 ; 15
31200 ; 28
31300 ; 11
31400 ; 14
31500 ; 22
31600 ; 22
31700 ; 12
31800 ; 11
31900 ; 30
32000 ; 16
32100 ; 18
32200 ; 12
32300 ; 11
32400 ; 16
32500 ; 23
32600 ; 20
32700 ; 17
