Step;N 
100 ; 294
200 ; 275
300 ; 276
400 ; 290
500 ; 278
600 ; 295
700 ; 277
800 ; 278
900 ; 279
1000 ; 286
1100 ; 277
1200 ; 281
1300 ; 285
1400 ; 293
1500 ; 282
1600 ; 294
1700 ; 269
1800 ; 291
1900 ; 266
2000 ; 298
2100 ; 278
2200 ; 279
2300 ; 286
2400 ; 279
2500 ; 268
2600 ; 283
2700 ; 273
2800 ; 294
2900 ; 282
3000 ; 294
3100 ; 280
3200 ; 274
3300 ; 284
3400 ; 298
3500 ; 289
3600 ; 293
3700 ; 282
3800 ; 287
3900 ; 294
4000 ; 258
4100 ; 283
4200 ; 294
4300 ; 289
4400 ; 292
4500 ; 279
4600 ; 281
4700 ; 294
4800 ; 280
4900 ; 296
5000 ; 286
5100 ; 286
5200 ; 291
5300 ; 273
5400 ; 287
5500 ; 291
5600 ; 279
5700 ; 268
5800 ; 291
5900 ; 287
6000 ; 287
6100 ; 287
6200 ; 281
6300 ; 285
6400 ; 298
6500 ; 276
6600 ; 282
6700 ; 280
6800 ; 287
6900 ; 284
7000 ; 276
7100 ; 277
7200 ; 276
7300 ; 282
7400 ; 315
7500 ; 286
7600 ; 265
7700 ; 304
7800 ; 285
7900 ; 270
8000 ; 290
8100 ; 292
8200 ; 291
8300 ; 296
8400 ; 283
8500 ; 279
8600 ; 280
8700 ; 301
8800 ; 285
8900 ; 277
9000 ; 281
9100 ; 310
9200 ; 285
9300 ; 274
9400 ; 302
9500 ; 272
9600 ; 288
9700 ; 284
9800 ; 285
9900 ; 285
10000 ; 296
10100 ; 284
10200 ; 290
10300 ; 292
10400 ; 294
10500 ; 288
10600 ; 285
10700 ; 273
10800 ; 288
10900 ; 281
11000 ; 285
11100 ; 279
11200 ; 296
11300 ; 288
11400 ; 276
11500 ; 272
11600 ; 276
11700 ; 299
11800 ; 290
11900 ; 291
12000 ; 281
12100 ; 278
12200 ; 280
12300 ; 279
12400 ; 295
12500 ; 291
12600 ; 294
12700 ; 292
12800 ; 292
12900 ; 291
13000 ; 301
13100 ; 274
13200 ; 288
13300 ; 294
13400 ; 303
13500 ; 269
13600 ; 283
13700 ; 274
13800 ; 284
13900 ; 277
14000 ; 297
14100 ; 296
14200 ; 302
14300 ; 284
14400 ; 300
14500 ; 277
14600 ; 274
14700 ; 287
14800 ; 287
14900 ; 298
15000 ; 269
15100 ; 295
15200 ; 272
15300 ; 282
15400 ; 274
15500 ; 293
15600 ; 285
15700 ; 288
15800 ; 276
15900 ; 278
16000 ; 287
16100 ; 299
16200 ; 291
16300 ; 277
16400 ; 286
16500 ; 292
16600 ; 283
16700 ; 278
16800 ; 285
16900 ; 292
17000 ; 287
17100 ; 276
17200 ; 268
17300 ; 283
17400 ; 286
17500 ; 288
17600 ; 280
17700 ; 294
17800 ; 288
17900 ; 297
18000 ; 280
18100 ; 281
18200 ; 296
18300 ; 289
18400 ; 280
18500 ; 302
18600 ; 298
18700 ; 302
18800 ; 275
18900 ; 271
19000 ; 282
19100 ; 301
19200 ; 287
19300 ; 275
19400 ; 284
19500 ; 289
19600 ; 282
19700 ; 289
19800 ; 297
19900 ; 282
20000 ; 267
20100 ; 269
20200 ; 288
20300 ; 286
20400 ; 287
20500 ; 270
20600 ; 290
20700 ; 271
20800 ; 280
20900 ; 277
21000 ; 284
21100 ; 276
21200 ; 286
21300 ; 281
21400 ; 284
21500 ; 280
21600 ; 288
21700 ; 287
21800 ; 288
21900 ; 276
22000 ; 280
22100 ; 283
22200 ; 273
22300 ; 295
22400 ; 285
22500 ; 299
22600 ; 302
22700 ; 274
22800 ; 288
22900 ; 285
23000 ; 265
23100 ; 284
23200 ; 282
23300 ; 283
23400 ; 293
23500 ; 290
23600 ; 305
23700 ; 296
23800 ; 303
23900 ; 271
24000 ; 285
24100 ; 292
24200 ; 269
24300 ; 283
24400 ; 282
24500 ; 293
24600 ; 291
24700 ; 292
24800 ; 288
24900 ; 284
25000 ; 285
25100 ; 294
25200 ; 274
25300 ; 278
25400 ; 289
25500 ; 285
25600 ; 292
25700 ; 286
25800 ; 276
25900 ; 298
26000 ; 279
26100 ; 298
26200 ; 280
26300 ; 290
26400 ; 274
26500 ; 280
26600 ; 295
26700 ; 287
26800 ; 274
26900 ; 287
27000 ; 297
27100 ; 284
27200 ; 272
27300 ; 300
27400 ; 291
27500 ; 289
27600 ; 291
27700 ; 272
27800 ; 284
27900 ; 286
28000 ; 273
28100 ; 271
28200 ; 277
28300 ; 289
28400 ; 275
28500 ; 298
28600 ; 290
28700 ; 281
28800 ; 270
28900 ; 305
29000 ; 284
29100 ; 277
29200 ; 271
29300 ; 285
29400 ; 272
29500 ; 289
29600 ; 264
29700 ; 282
29800 ; 278
29900 ; 289
30000 ; 272
30100 ; 271
30200 ; 281
30300 ; 291
30400 ; 296
30500 ; 298
30600 ; 291
30700 ; 299
30800 ; 275
30900 ; 306
31000 ; 298
31100 ; 295
31200 ; 291
31300 ; 298
31400 ; 293
31500 ; 282
31600 ; 278
31700 ; 274
31800 ; 292
31900 ; 284
32000 ; 276
32100 ; 284
32200 ; 293
32300 ; 285
32400 ; 269
32500 ; 289
32600 ; 278
32700 ; 263
32800 ; 304
32900 ; 291
33000 ; 276
33100 ; 281
33200 ; 278
33300 ; 284
33400 ; 295
33500 ; 275
33600 ; 283
33700 ; 268
33800 ; 287
33900 ; 277
34000 ; 288
34100 ; 266
34200 ; 287
34300 ; 280
34400 ; 294
34500 ; 283
34600 ; 255
34700 ; 304
34800 ; 317
34900 ; 267
35000 ; 292
35100 ; 297
35200 ; 272
35300 ; 277
35400 ; 279
35500 ; 285
35600 ; 295
35700 ; 278
35800 ; 286
35900 ; 280
36000 ; 279
36100 ; 304
36200 ; 296
36300 ; 285
36400 ; 272
36500 ; 277
36600 ; 284
36700 ; 291
36800 ; 295
36900 ; 280
37000 ; 263
37100 ; 311
37200 ; 290
37300 ; 268
37400 ; 274
37500 ; 271
37600 ; 275
37700 ; 268
37800 ; 283
37900 ; 284
38000 ; 285
38100 ; 276
38200 ; 284
38300 ; 292
38400 ; 291
38500 ; 275
38600 ; 275
38700 ; 297
38800 ; 281
38900 ; 285
39000 ; 284
39100 ; 283
39200 ; 283
39300 ; 287
39400 ; 273
39500 ; 274
39600 ; 287
39700 ; 267
39800 ; 291
39900 ; 286
40000 ; 306
40100 ; 270
40200 ; 279
