Step;N 
100 ; 548
200 ; 552
300 ; 555
400 ; 550
500 ; 554
600 ; 548
700 ; 562
800 ; 558
900 ; 557
1000 ; 553
1100 ; 553
1200 ; 556
1300 ; 570
1400 ; 558
1500 ; 563
1600 ; 547
1700 ; 546
1800 ; 545
1900 ; 546
2000 ; 556
2100 ; 546
2200 ; 566
2300 ; 564
2400 ; 569
2500 ; 564
2600 ; 553
2700 ; 550
2800 ; 551
2900 ; 543
3000 ; 546
3100 ; 559
3200 ; 565
3300 ; 553
3400 ; 554
3500 ; 556
3600 ; 558
3700 ; 551
3800 ; 552
3900 ; 553
4000 ; 549
4100 ; 552
4200 ; 548
4300 ; 559
4400 ; 563
4500 ; 558
4600 ; 560
4700 ; 557
4800 ; 571
4900 ; 567
5000 ; 539
