Step;N 
100 ; 711
200 ; 709
300 ; 710
400 ; 710
500 ; 712
600 ; 713
700 ; 711
800 ; 710
900 ; 708
1000 ; 705
1100 ; 705
1200 ; 706
1300 ; 705
1400 ; 709
1500 ; 706
1600 ; 704
1700 ; 702
1800 ; 702
1900 ; 703
2000 ; 709
2100 ; 709
2200 ; 710
2300 ; 712
2400 ; 712
2500 ; 710
2600 ; 711
2700 ; 710
2800 ; 707
2900 ; 709
3000 ; 709
3100 ; 709
3200 ; 709
3300 ; 710
3400 ; 709
3500 ; 708
3600 ; 708
3700 ; 710
3800 ; 710
3900 ; 713
4000 ; 713
4100 ; 713
4200 ; 711
4300 ; 712
4400 ; 709
4500 ; 709
4600 ; 711
4700 ; 709
4800 ; 712
4900 ; 708
5000 ; 707
5100 ; 707
5200 ; 710
5300 ; 709
5400 ; 712
5500 ; 711
5600 ; 710
5700 ; 708
5800 ; 710
5900 ; 712
6000 ; 708
6100 ; 707
6200 ; 707
6300 ; 708
6400 ; 716
6500 ; 718
6600 ; 718
6700 ; 717
6800 ; 716
6900 ; 714
7000 ; 713
7100 ; 711
7200 ; 712
7300 ; 706
7400 ; 706
7500 ; 709
7600 ; 709
7700 ; 709
7800 ; 704
7900 ; 703
8000 ; 698
8100 ; 701
8200 ; 697
8300 ; 699
8400 ; 700
8500 ; 696
8600 ; 696
8700 ; 697
8800 ; 697
8900 ; 698
9000 ; 699
9100 ; 701
9200 ; 703
9300 ; 702
9400 ; 703
9500 ; 706
9600 ; 705
9700 ; 706
9800 ; 707
9900 ; 708
10000 ; 705
10100 ; 705
10200 ; 704
10300 ; 701
10400 ; 702
10500 ; 702
10600 ; 702
10700 ; 701
10800 ; 701
10900 ; 703
11000 ; 704
11100 ; 702
11200 ; 701
11300 ; 701
11400 ; 701
11500 ; 702
11600 ; 704
11700 ; 704
11800 ; 707
11900 ; 705
12000 ; 705
12100 ; 705
12200 ; 705
12300 ; 704
12400 ; 704
12500 ; 704
12600 ; 707
12700 ; 706
12800 ; 710
12900 ; 711
13000 ; 711
13100 ; 709
13200 ; 710
13300 ; 710
13400 ; 708
13500 ; 711
13600 ; 711
13700 ; 711
13800 ; 708
13900 ; 707
14000 ; 704
14100 ; 703
14200 ; 704
14300 ; 707
14400 ; 708
14500 ; 709
14600 ; 707
14700 ; 709
14800 ; 709
14900 ; 710
15000 ; 714
15100 ; 715
15200 ; 714
15300 ; 715
15400 ; 714
15500 ; 713
15600 ; 711
15700 ; 712
15800 ; 708
15900 ; 709
16000 ; 707
16100 ; 708
16200 ; 708
16300 ; 709
16400 ; 710
16500 ; 713
16600 ; 713
16700 ; 713
16800 ; 711
16900 ; 708
17000 ; 709
17100 ; 711
17200 ; 711
17300 ; 710
17400 ; 709
17500 ; 704
17600 ; 701
17700 ; 703
17800 ; 702
17900 ; 704
18000 ; 703
18100 ; 705
18200 ; 705
18300 ; 707
18400 ; 710
18500 ; 712
18600 ; 712
18700 ; 711
18800 ; 714
18900 ; 715
19000 ; 717
19100 ; 717
19200 ; 716
19300 ; 712
19400 ; 713
19500 ; 711
19600 ; 713
19700 ; 716
19800 ; 713
19900 ; 715
20000 ; 716
20100 ; 713
20200 ; 713
20300 ; 710
20400 ; 709
20500 ; 708
20600 ; 709
20700 ; 709
20800 ; 712
20900 ; 709
21000 ; 712
21100 ; 710
21200 ; 706
21300 ; 705
21400 ; 702
21500 ; 700
21600 ; 701
21700 ; 699
21800 ; 699
21900 ; 703
22000 ; 706
22100 ; 706
22200 ; 707
22300 ; 710
22400 ; 711
22500 ; 714
22600 ; 715
22700 ; 713
22800 ; 711
22900 ; 711
23000 ; 707
23100 ; 707
23200 ; 707
23300 ; 707
23400 ; 707
